Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Chuck Aleksinas,C,25,GSW,74,4,15.1,2.2,4.6,0.5,0,0,0,2.2,4.5,0.5,0.5,0.7,1,0.7,1.2,2.5,3.6,0.5,0.2,0.2,1,2.3,5.1,1985,0.268,0
Ron Anderson,SF,26,CLE,36,7,14.4,2.3,5.4,0.4,0,0.1,0.5,2.3,5.4,0.4,0.4,1.1,1.4,0.8,1.1,1.4,2.4,0.9,0.2,0.2,0.9,1.1,5.8,1985,0.439,0
Ken Bannister,PF,24,NYK,75,50,18.7,2.8,5.9,0.5,0,0,,2.8,5.9,0.5,0.5,1.2,2.6,0.5,1.4,3,4.4,0.5,0.5,0.5,1.9,3.7,6.8,1985,0.293,0
Charles Barkley,PF,21,PHI,82,60,28.6,5.2,9.5,0.5,0,0.1,0.2,5.2,9.5,0.5,0.5,3.6,4.9,0.7,3.2,5.3,8.6,1.9,1.2,1,2.5,3.7,14,1985,0.707,0
Cory Blackwell,SF,21,SEA,60,0,9.2,1.4,4,0.4,0,0,0,1.4,3.9,0.4,0.4,0.5,0.9,0.5,0.7,0.9,1.6,0.4,0.4,0,0.7,0.9,3.4,1985,0.378,0
Sam Bowie,C,23,POR,76,62,29.2,3.9,7.3,0.5,0,0,,3.9,7.3,0.5,0.5,2.1,3,0.7,2.7,5.9,8.6,2.8,0.7,2.7,2.3,3.7,10,1985,0.512,0
Frank Brickowski,C,25,SEA,78,9,14.3,1.9,3.9,0.5,0,0.1,0,1.9,3.9,0.5,0.5,1.1,1.6,0.7,1,2.4,3.3,1.3,0.4,0.2,1.3,2.2,4.9,1985,0.378,0
Tony Brown,SF,24,IND,82,26,19.3,2.6,5.7,0.5,0,0.1,0,2.6,5.6,0.5,0.5,1.4,2.1,0.7,1.8,1.7,3.5,1.9,0.7,0.1,1.4,2.6,6.6,1985,0.268,0
Steve Burtt,SG,22,GSW,47,0,8.9,1.5,4,0.4,0,0,0,1.5,4,0.4,0.4,1.1,1.6,0.7,0.2,0.4,0.6,0.4,0.4,0.1,0.7,1.6,4.2,1985,0.268,0
Michael Cage,PF,23,LAC,75,41,21.5,2.9,5.3,0.5,0,0,,2.9,5.3,0.5,0.5,1.3,1.8,0.7,1.7,3.5,5.2,0.7,0.5,0.4,1.1,2.2,7.1,1985,0.378,0
