Season,Team,W/L%
2022,BOS,0.622
2021,BOS,0.5
2020,BOS,0.667
2019,BOS,0.598
2018,BOS,0.671
2017,BOS,0.646
2016,BOS,0.585
2015,BOS,0.488
2014,BOS,0.305
2013,BOS,0.506
2012,BOS,0.591
2011,BOS,0.683
2010,BOS,0.61
2009,BOS,0.756
2008,BOS,0.805
2007,BOS,0.293
2006,BOS,0.402
2005,BOS,0.549
2004,BOS,0.439
2003,BOS,0.537
2002,BOS,0.598
2001,BOS,0.439
2000,BOS,0.427
1999,BOS,0.38
1998,BOS,0.439
1997,BOS,0.183
1996,BOS,0.402
1995,BOS,0.427
1994,BOS,0.39
1993,BOS,0.585
1992,BOS,0.622
1991,BOS,0.683
1990,BOS,0.634
1989,BOS,0.512
1988,BOS,0.695
1987,BOS,0.72
1986,BOS,0.817
1985,BOS,0.768
1984,BOS,0.756
1983,BOS,0.683
1982,BOS,0.768
1981,BOS,0.756
1980,BOS,0.744
1979,BOS,0.354
1978,BOS,0.39
1977,BOS,0.537
1976,BOS,0.659
1975,BOS,0.732
1974,BOS,0.683
1973,BOS,0.829
1972,BOS,0.683
1971,BOS,0.537
1970,BOS,0.415
1969,BOS,0.585
1968,BOS,0.659
1967,BOS,0.741
1966,BOS,0.675
1965,BOS,0.775
1964,BOS,0.738
1963,BOS,0.725
1962,BOS,0.75
1961,BOS,0.722
1960,BOS,0.787
1959,BOS,0.722
1958,BOS,0.681
1957,BOS,0.611
1956,BOS,0.542
1955,BOS,0.5
1954,BOS,0.583
1953,BOS,0.648
1952,BOS,0.591
1951,BOS,0.565
1950,BOS,0.324
2022,TOR,0.585
2021,TOR,0.375
2020,TOR,0.736
2019,TOR,0.707
2018,TOR,0.72
2017,TOR,0.622
2016,TOR,0.683
2015,TOR,0.598
2014,TOR,0.585
2013,TOR,0.415
2012,TOR,0.348
2011,TOR,0.268
2010,TOR,0.488
2009,TOR,0.402
2008,TOR,0.5
2007,TOR,0.573
2006,TOR,0.329
2005,TOR,0.402
2004,TOR,0.402
2003,TOR,0.293
2002,TOR,0.512
2001,TOR,0.573
2000,TOR,0.549
1999,TOR,0.46
1998,TOR,0.195
1997,TOR,0.366
1996,TOR,0.256
2022,NYK,0.451
2021,NYK,0.569
2020,NYK,0.318
2019,NYK,0.207
2018,NYK,0.427
2017,NYK,0.378
2016,NYK,0.39
2015,NYK,0.207
2014,NYK,0.451
2013,NYK,0.659
2012,NYK,0.545
2011,NYK,0.512
2010,NYK,0.354
2009,NYK,0.39
2008,NYK,0.28
2007,NYK,0.402
2006,NYK,0.28
2005,NYK,0.402
2004,NYK,0.476
2003,NYK,0.451
2002,NYK,0.366
2001,NYK,0.585
2000,NYK,0.61
1999,NYK,0.54
1998,NYK,0.524
1997,NYK,0.695
1996,NYK,0.573
1995,NYK,0.671
1994,NYK,0.695
1993,NYK,0.732
1992,NYK,0.622
1991,NYK,0.476
1990,NYK,0.549
1989,NYK,0.634
1988,NYK,0.463
1987,NYK,0.293
1986,NYK,0.28
1985,NYK,0.293
1984,NYK,0.573
1983,NYK,0.537
1982,NYK,0.402
1981,NYK,0.61
1980,NYK,0.476
1979,NYK,0.378
1978,NYK,0.524
1977,NYK,0.488
1976,NYK,0.463
1975,NYK,0.488
1974,NYK,0.598
1973,NYK,0.695
1972,NYK,0.585
1971,NYK,0.634
1970,NYK,0.732
1969,NYK,0.659
1968,NYK,0.524
1967,NYK,0.444
1966,NYK,0.375
1965,NYK,0.388
1964,NYK,0.275
1963,NYK,0.263
1962,NYK,0.363
1961,NYK,0.266
1960,NYK,0.36
1959,NYK,0.556
1958,NYK,0.486
1957,NYK,0.5
1956,NYK,0.486
1955,NYK,0.528
1954,NYK,0.611
1953,NYK,0.671
1952,NYK,0.561
1951,NYK,0.545
1950,NYK,0.588
2022,PHI,0.622
2021,PHI,0.681
2020,PHI,0.589
2019,PHI,0.622
2018,PHI,0.634
2017,PHI,0.341
2016,PHI,0.122
2015,PHI,0.22
2014,PHI,0.232
2013,PHI,0.415
2012,PHI,0.53
2011,PHI,0.5
2010,PHI,0.329
2009,PHI,0.5
2008,PHI,0.488
2007,PHI,0.427
2006,PHI,0.463
2005,PHI,0.524
2004,PHI,0.402
2003,PHI,0.585
2002,PHI,0.524
2001,PHI,0.683
2000,PHI,0.598
1999,PHI,0.56
1998,PHI,0.378
1997,PHI,0.268
1996,PHI,0.22
1995,PHI,0.293
1994,PHI,0.305
1993,PHI,0.317
1992,PHI,0.427
1991,PHI,0.537
1990,PHI,0.646
1989,PHI,0.561
1988,PHI,0.439
1987,PHI,0.549
1986,PHI,0.659
1985,PHI,0.707
1984,PHI,0.634
1983,PHI,0.793
1982,PHI,0.707
1981,PHI,0.756
1980,PHI,0.72
1979,PHI,0.573
1978,PHI,0.671
1977,PHI,0.61
1976,PHI,0.561
1975,PHI,0.415
1974,PHI,0.305
1973,PHI,0.11
1972,PHI,0.366
1971,PHI,0.573
1970,PHI,0.512
1969,PHI,0.671
1968,PHI,0.756
1967,PHI,0.84
1966,PHI,0.688
1965,PHI,0.5
1964,PHI,0.425
1963,SYR,0.6
1962,SYR,0.513
1961,SYR,0.481
1960,SYR,0.6
1959,SYR,0.486
1958,SYR,0.569
1957,SYR,0.528
1956,SYR,0.486
1955,SYR,0.597
1954,SYR,0.583
1953,SYR,0.662
1952,SYR,0.606
1951,SYR,0.485
1950,SYR,0.797
2022,BRK,0.537
2021,BRK,0.667
2020,BRK,0.486
2019,BRK,0.512
2018,BRK,0.342
2017,BRK,0.244
2016,BRK,0.256
2015,BRK,0.463
2014,BRK,0.537
2013,BRK,0.598
2012,NJN,0.333
2011,NJN,0.293
2010,NJN,0.146
2009,NJN,0.415
2008,NJN,0.415
2007,NJN,0.5
2006,NJN,0.598
2005,NJN,0.512
2004,NJN,0.573
2003,NJN,0.598
2002,NJN,0.634
2001,NJN,0.317
2000,NJN,0.378
1999,NJN,0.32
1998,NJN,0.524
1997,NJN,0.317
1996,NJN,0.366
1995,NJN,0.366
1994,NJN,0.549
1993,NJN,0.524
1992,NJN,0.488
1991,NJN,0.317
1990,NJN,0.207
1989,NJN,0.317
1988,NJN,0.232
1987,NJN,0.293
1986,NJN,0.476
1985,NJN,0.512
1984,NJN,0.549
1983,NJN,0.598
1982,NJN,0.537
1981,NJN,0.293
1980,NJN,0.415
1979,NJN,0.451
1978,NJN,0.293
1977,NYN,0.268
2022,MIN,0.561
2021,MIN,0.319
2020,MIN,0.297
2019,MIN,0.439
2018,MIN,0.573
2017,MIN,0.378
2016,MIN,0.354
2015,MIN,0.195
2014,MIN,0.488
2013,MIN,0.378
2012,MIN,0.394
2011,MIN,0.207
2010,MIN,0.183
2009,MIN,0.293
2008,MIN,0.268
2007,MIN,0.39
2006,MIN,0.402
2005,MIN,0.537
2004,MIN,0.707
2003,MIN,0.622
2002,MIN,0.61
2001,MIN,0.573
2000,MIN,0.61
1999,MIN,0.5
1998,MIN,0.549
1997,MIN,0.488
1996,MIN,0.317
1995,MIN,0.256
1994,MIN,0.244
1993,MIN,0.232
1992,MIN,0.183
1991,MIN,0.354
1990,MIN,0.268
2022,OKC,0.293
2021,OKC,0.306
2020,OKC,0.616
2019,OKC,0.598
2018,OKC,0.585
2017,OKC,0.573
2016,OKC,0.671
2015,OKC,0.549
2014,OKC,0.72
2013,OKC,0.732
2012,OKC,0.712
2011,OKC,0.671
2010,OKC,0.61
2009,OKC,0.28
2008,SEA,0.244
2007,SEA,0.378
2006,SEA,0.427
2005,SEA,0.634
2004,SEA,0.451
2003,SEA,0.488
2002,SEA,0.549
2001,SEA,0.537
2000,SEA,0.549
1999,SEA,0.5
1998,SEA,0.744
1997,SEA,0.695
1996,SEA,0.78
1995,SEA,0.695
1994,SEA,0.768
1993,SEA,0.671
1992,SEA,0.573
1991,SEA,0.5
1990,SEA,0.5
1989,SEA,0.573
1988,SEA,0.537
1987,SEA,0.476
1986,SEA,0.378
1985,SEA,0.378
1984,SEA,0.512
1983,SEA,0.585
1982,SEA,0.634
1981,SEA,0.415
1980,SEA,0.683
1979,SEA,0.634
1978,SEA,0.573
1977,SEA,0.488
1976,SEA,0.524
1975,SEA,0.524
1974,SEA,0.439
1973,SEA,0.317
1972,SEA,0.573
1971,SEA,0.463
1970,SEA,0.439
1969,SEA,0.366
1968,SEA,0.28
2022,DEN,0.585
2021,DEN,0.653
2020,DEN,0.63
2019,DEN,0.659
2018,DEN,0.561
2017,DEN,0.488
2016,DEN,0.402
2015,DEN,0.366
2014,DEN,0.439
2013,DEN,0.695
2012,DEN,0.576
2011,DEN,0.61
