Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,name_id,Year
Alvin Robertson,23,SAS,30,30,78,0.385,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,roberal01,1986
Charles Barkley,22,PHI,18.5,18.5,78,0.237,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,barklch01,1986
Kevin Willis,23,ATL,8,8,78,0.103,82,28,12.3,8.6,0.5,0.8,0.5,0.517,0,0.654,4.7,0.099,willike02,1986
Dominique Wilkins,26,ATL,6.5,6.5,78,0.083,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,wilkido01,1986
Dale Ellis,26,SEA,33,33,78,0.423,82,37.5,24.9,5.5,2.9,1.3,0.4,0.516,0.358,0.787,9.3,0.145,ellisda01,1987
James Donaldson,29,DAL,6,6,78,0.077,82,36.9,10.8,11.9,0.8,0.6,1.7,0.586,,0.812,10.4,0.166,donalja01,1987
Sleepy Floyd,26,GSW,5,5,78,0.064,82,37.4,18.8,3.3,10.3,1.8,0.2,0.488,0.384,0.86,10,0.157,floydsl01,1987
Fat Lever,26,DEN,5,5,78,0.064,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,leverfa01,1987
Otis Thorpe,24,SAC,5,5,78,0.064,82,36,18.9,10,2.5,0.6,0.7,0.54,0,0.761,9,0.146,thorpot01,1987
Kevin Willis,24,ATL,5,5,78,0.064,81,32.4,16.1,10.5,0.8,0.8,0.8,0.536,0.25,0.709,8.6,0.156,willike02,1987
Gerald Wilkins,23,NYK,4,4,78,0.051,80,34.5,19.1,3.7,4.4,1.1,0.2,0.486,0.351,0.701,3.3,0.057,wilkige01,1987
Terry Porter,23,POR,3,3,78,0.038,80,33.9,13.1,4.2,8.9,2,0.1,0.488,0.217,0.838,6.8,0.12,portete01,1987
Michael Cage,25,LAC,2,2,78,0.026,80,36.5,15.7,11.5,1.6,1.2,0.8,0.521,0,0.73,7.2,0.119,cagemi01,1987
Steve Johnson,29,POR,2,2,78,0.026,79,29.7,16.8,7.2,2,0.6,1,0.556,,0.698,4.4,0.091,johnsst03,1987
Karl Malone,23,UTA,2,2,78,0.026,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116,malonka01,1987
Tim McCormick,24,PHI,2,2,78,0.026,81,34.8,12.8,7.5,1.4,0.4,0.8,0.545,0,0.719,6,0.102,mccorti01,1987
Charles Barkley,23,PHI,1,1,78,0.013,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,barklch01,1987
Bob Hansen,26,UTA,1,1,78,0.013,72,20.2,9.7,2.8,1.4,0.6,0.1,0.453,0.356,0.76,2.6,0.085,hansebo01,1987
John Paxson,26,CHI,1,1,78,0.013,82,32.8,11.3,1.7,5.7,0.8,0.1,0.487,0.371,0.809,6,0.106,paxsojo01,1987
Larry Smith,29,GSW,1,1,78,0.013,80,29.7,8.8,11.5,1.2,0.9,0.7,0.546,0,0.574,5.4,0.109,smithla01,1987
Kevin Duckworth,23,POR,33,33,80,0.413,78,28.5,15.8,7.4,0.8,0.4,0.4,0.496,,0.77,5.2,0.112,duckwke01,1988
John Stockton,25,UTA,15,15,80,0.188,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,stockjo01,1988
Mark Price,23,CLE,11,11,80,0.138,80,32.8,16,2.3,6,1.2,0.2,0.506,0.486,0.877,7.8,0.143,pricema01,1988
Michael Adams,25,DEN,7,7,80,0.088,82,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13,adamsmi01,1988
Jerome Kersey,25,POR,5,5,80,0.063,79,36.6,19.2,8.3,3.1,1.6,0.8,0.499,0.2,0.735,8.6,0.144,kerseje01,1988
Randy Breuer,27,MIL,3,3,80,0.038,81,27.9,12,6.8,1.3,0.6,1.3,0.495,,0.657,5.1,0.109,breuera01,1988
Frank Brickowski,28,SAS,3,3,80,0.038,70,31.8,16,6.9,3.8,1.1,0.5,0.528,0.2,0.768,4.1,0.088,brickfr01,1988
John Battle,25,ATL,1,1,80,0.013,67,18.3,10.6,1.7,2.4,0.5,0.1,0.454,0.39,0.75,2.3,0.092,battljo01,1988
Byron Scott,26,LAL,1,1,80,0.013,81,37.6,21.7,4.1,4.1,1.9,0.3,0.527,0.346,0.858,10.7,0.168,scottby01,1988
Roy Tarpley,23,DAL,1,1,80,0.013,81,28.5,13.5,11.8,1.1,1.3,1.1,0.5,0,0.74,7.8,0.163,tarplro01,1988
Kevin Johnson,22,PHO,48,48,85,0.565,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184,johnske02,1989
Reggie Lewis,23,BOS,14,14,85,0.165,81,32.8,18.5,4.7,2.7,1.5,0.9,0.486,0.136,0.787,6.9,0.124,lewisre01,1989
Chris Mullin,25,GSW,12,12,85,0.141,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165,mullich01,1989
Ron Anderson,30,PHI,2,2,85,0.024,82,31.9,16.2,5,1.7,0.9,0.3,0.491,0.182,0.856,4.4,0.081,anderro01,1989
Ken Norman,24,LAC,2,2,85,0.024,80,37.8,18.1,8.3,3.5,1.3,0.8,0.502,0.19,0.63,4,0.064,normake01,1989
Kelly Tripucka,29,CHH,2,2,85,0.024,71,32.4,22.6,3.8,3.2,1.2,0.2,0.467,0.357,0.866,3.3,0.069,tripuke01,1989
Patrick Ewing,26,NYK,1,1,85,0.012,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,ewingpa01,1989
Larry Krystkowiak,24,MIL,1,1,85,0.012,80,30.9,12.7,7.6,1.3,1.2,0.1,0.473,0.333,0.823,6.3,0.122,krystla01,1989
Derrick McKey,22,SEA,1,1,85,0.012,82,34.2,15.9,5.7,2.7,1.3,0.9,0.502,0.337,0.803,7.4,0.126,mckeyde01,1989
Scottie Pippen,23,CHI,1,1,85,0.012,73,33.1,14.4,6.1,3.5,1.9,0.8,0.476,0.273,0.668,4,0.08,pippesc01,1989
Dennis Rodman,27,DET,1,1,85,0.012,82,26.9,9,9.4,1.2,0.7,0.9,0.595,0.231,0.626,8.1,0.175,rodmade01,1989
Rony Seikaly,24,MIA,37,37,92,0.402,74,32.6,16.6,10.4,1.1,1.1,1.7,0.502,0,0.594,3.2,0.063,seikaro01,1990
Reggie Miller,24,IND,30,30,92,0.326,82,38.9,24.6,3.6,3.8,1.3,0.2,0.514,0.414,0.868,12.1,0.182,millere01,1990
Tony Campbell,27,MIN,13,13,92,0.141,82,38.6,23.2,5.5,2.6,1.4,0.4,0.457,0.167,0.787,5.3,0.081,campbto01,1990
Jeff Hornacek,26,PHO,4,4,92,0.043,67,34,17.6,4.7,5,1.7,0.2,0.536,0.408,0.856,8.7,0.182,hornaje01,1990
Hersey Hawkins,23,PHI,3,3,92,0.033,82,34.8,18.5,3.7,3.2,1.6,0.3,0.46,0.42,0.888,8,0.135,hawkihe01,1990
Scottie Pippen,24,CHI,1,1,92,0.011,82,38.4,16.5,6.7,5.4,2.6,1.2,0.489,0.25,0.675,5.7,0.087,pippesc01,1990
Detlef Schrempf,27,IND,1,1,92,0.011,78,33,16.2,7.9,3.2,0.8,0.2,0.516,0.354,0.82,8.1,0.151,schrede01,1990
Derek Smith,28,PHI,1,1,92,0.011,75,18.7,8.9,2.3,1.5,0.5,0.3,0.508,0.444,0.699,2.9,0.098,smithde02,1990
Roy Tarpley,25,DAL,1,1,92,0.011,45,36.6,16.8,13.1,1.5,1.8,1.6,0.451,0,0.756,3.5,0.103,tarplro01,1990
Mark West,29,PHO,1,1,92,0.011,82,29.3,10.5,8.9,0.5,0.4,2.2,0.625,,0.691,8.2,0.163,westma01,1990
Scott Skiles,26,ORL,25,25,96,0.26,79,34.4,17.2,3.4,8.4,1.1,0.1,0.445,0.408,0.902,7,0.124,skilesc01,1991
Kevin Gamble,25,BOS,21,21,96,0.219,82,33,15.6,3.3,3.1,1.2,0.4,0.587,0,0.815,8.3,0.147,gamblke01,1991
Kenny Smith,25,HOU,20,20,96,0.208,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161,smithke01,1991
Harvey Grant,25,WSB,12,12,96,0.125,77,36.9,18.2,7.2,2.6,1.2,0.8,0.498,0.133,0.743,6.7,0.112,grantha01,1991
Tim Hardaway,24,GSW,6,6,96,0.063,82,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148,hardati01,1991
Sean Elliott,22,SAS,3,3,96,0.031,82,37.1,15.9,5.6,2.9,0.8,0.4,0.49,0.313,0.808,8.8,0.138,elliose01,1991
Shawn Kemp,21,SEA,2,2,96,0.021,81,30.1,15,8.4,1.8,1,1.5,0.508,0.167,0.661,6.1,0.121,kempsh01,1991
Michael Adams,28,DEN,1,1,96,0.01,66,35.5,26.5,3.9,10.5,2.2,0.1,0.394,0.296,0.879,6.3,0.128,adamsmi01,1991
Rex Chapman,23,CHH,1,1,96,0.01,70,30,15.7,2.7,3.6,1,0.2,0.445,0.324,0.83,3,0.069,chapmre01,1991
Derek Harper,29,DAL,1,1,96,0.01,77,37.4,19.7,3,7.1,1.9,0.2,0.467,0.362,0.731,7.6,0.127,harpede01,1991
Bernard King,34,WSB,1,1,96,0.01,64,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07,kingbe01,1991
Scottie Pippen,25,CHI,1,1,96,0.01,82,36.8,17.8,7.3,6.2,2.4,1.1,0.52,0.309,0.706,11.2,0.179,pippesc01,1991
Larry Smith,33,HOU,1,1,96,0.01,81,23.7,3.3,8.8,1.1,1,0.3,0.487,,0.24,4.4,0.109,smithla01,1991
Spud Webb,27,ATL,1,1,96,0.01,75,29.3,13.4,2.3,5.6,1.6,0.1,0.447,0.321,0.868,5.4,0.118,webbsp01,1991
Pervis Ellison,24,WSB,40,40,96,0.417,66,38,20,11.2,2.9,0.9,2.7,0.539,0.333,0.728,6.9,0.131,ellispe01,1992
Dražen Petrovi?,27,NJN,22,22,96,0.229,82,36.9,20.6,3.1,3.1,1.3,0.1,0.508,0.444,0.808,7.7,0.122,petrodr01,1992
Kevin Willis,29,ATL,12,12,96,0.125,81,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143,willike02,1992
Glen Rice,24,MIA,4,4,96,0.042,79,38.1,22.3,5,2.3,1.1,0.4,0.469,0.391,0.836,7.9,0.126,ricegl01,1992
