Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Name_id,Year
Darrell Griffith,22,UTA,19,19,69,0.275,81,35.4,20.6,3.6,2.4,1.3,0.5,0.464,0.192,0.716,0.4,0.006,griffda01,1981
Kelvin Ransey,22,POR,18,18,69,0.261,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.056,ranseke01,1981
Larry Smith,23,GSW,14,14,69,0.203,82,31.4,9.6,12.1,1.1,0.9,0.8,0.512,,0.588,6.1,0.113,smithla01,1981
Kevin McHale,23,BOS,11,11,69,0.159,82,20.1,10,4.4,0.7,0.3,1.8,0.533,0,0.679,4.7,0.137,mchalke01,1981
Joe Barry Carroll,22,GSW,3,3,69,0.043,82,35.6,18.9,9.3,1.4,0.6,1.5,0.491,0,0.716,5.7,0.094,carrojo01,1981
Michael Brooks,22,SDC,2,2,69,0.029,82,30.2,14.7,5.4,2.5,1.2,0.4,0.479,0,0.706,4.9,0.095,brookmi01,1981
Mike O'Koren,22,NJN,1,1,69,0.014,79,31.3,11,6.1,3.2,1.1,0.3,0.486,0.278,0.637,3.8,0.075,okoremi01,1981
Andrew Toney,23,PHI,1,1,69,0.014,75,23.6,12.9,1.9,3.6,0.8,0.1,0.495,0.31,0.712,2.2,0.061,toneyan01,1981
Buck Williams,21,NJN,33,33,69,0.478,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152,willibu01,1982
Kelly Tripucka,22,DET,22,22,69,0.319,82,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,0.117,tripuke01,1982
Jay Vincent,22,DAL,11,11,69,0.159,81,32.4,21.4,7,2.2,1.1,0.3,0.497,0.25,0.716,5.6,0.102,vinceja01,1982
Terry Cummings,21,SDC,60,60,74,0.811,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164,cummite01,1983
Clark Kellogg,21,IND,11,11,74,0.149,81,34.1,20.1,10.6,2.8,1.7,0.5,0.479,0.222,0.741,6.8,0.119,kellocl01,1983
James Worthy,21,LAL,3,3,74,0.041,77,25.6,13.4,5.2,1.7,1.2,0.8,0.579,0.25,0.624,5.1,0.125,worthja01,1983
Ralph Sampson,23,HOU,76,76,76,1,82,32.8,21,11.1,2,0.9,2.4,0.523,0.25,0.661,6,0.108,sampsra01,1984
Michael Jordan,21,CHI,57.5,57.5,78,0.737,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,jordami01,1985
Hakeem Olajuwon,22,HOU,20.5,20.5,78,0.263,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,,0.613,10.2,0.168,olajuha01,1985
Patrick Ewing,23,NYK,36,36,78,0.462,50,35.4,20,9,2,1.1,2.1,0.474,0,0.739,3.1,0.084,ewingpa01,1986
Xavier McDaniel,22,SEA,16.5,16.5,78,0.212,82,33,17.1,8,2.4,1.2,0.5,0.49,0.2,0.687,5.1,0.091,mcdanxa01,1986
Karl Malone,22,UTA,14.5,14.5,78,0.186,81,30.6,14.9,8.9,2.9,1.3,0.5,0.496,0,0.481,1.9,0.036,malonka01,1986
Spud Webb,22,ATL,4,4,78,0.051,79,15.6,7.8,1.6,4.3,1,0.1,0.483,0.182,0.785,3.5,0.137,webbsp01,1986
